date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,Inflation_USD,Inflation_Local,GDP
2004-05-01,CHE,CHF,Switzerland,6.3,1.29,4.88372093023256,0.06201550387596955,0.0,54659.4571488233
2005-06-01,CHE,CHF,Switzerland,6.3,1.2475,5.0501002004007995,0.03406813627254433,0.0,56242.8933645639
2006-05-01,CHE,CHF,Switzerland,6.3,1.20885,5.211564710261821,0.03197253588121021,0.0,59011.032459201604
2007-06-01,CHE,CHF,Switzerland,6.3,1.2112,5.2014531043593095,-0.0019402245706747613,0.0,64989.1553256031
2008-06-01,CHE,CHF,Switzerland,6.5,1.02215,6.35914493958812,0.2225708493379581,0.03174603174603177,74175.1927898555
2009-07-01,CHE,CHF,Switzerland,6.5,1.08605,5.98499148289674,-0.05883707011647597,0.0,71568.3123885672
2010-07-01,CHE,CHF,Switzerland,6.5,1.05085,6.185468906123611,0.03349669315316042,0.0,76531.3729407691
2011-07-01,CHE,CHF,Switzerland,6.5,0.80615,8.06301556782237,0.30354152453017574,0.0,90476.7589651577
2012-07-01,CHE,CHF,Switzerland,6.5,0.9906,6.56167979002625,-0.18620028265697572,0.0,85836.2076767359
2013-07-01,CHE,CHF,Switzerland,6.5,0.9674,6.7190407277238,0.023981806905106675,0.0,87304.33058135571
2014-07-01,CHE,CHF,Switzerland,6.16,0.9024,6.826241134751769,0.01595471903982422,-0.052307692307692284,88724.99094026381
2015-07-01,CHE,CHF,Switzerland,6.5,0.9528,6.82199832073888,-0.0006215447021479858,0.05519480519480517,83806.4476003837
2016-07-01,CHE,CHF,Switzerland,6.5,0.9861,6.59162356758949,-0.03376939458472893,0.0,82153.07454478889
2017-07-01,CHE,CHF,Switzerland,6.5,0.96415,6.74168957112483,0.022766167090184412,0.0,82254.37692697669
2018-07-01,CHE,CHF,Switzerland,6.5,0.99325,6.54417316889001,-0.029297759879184843,0.0,85217.36915122741
2019-07-09,CHE,CHF,Switzerland,6.5,0.99355,6.54219717175784,-0.00030194756177358414,0.0,84121.9310304414
2020-07-01,CHE,CHF,Switzerland,6.5,0.94125,6.90571049136786,0.05556440903054395,0.0,85897.7843338323
2000-04-01,CAN,CAD,Canada,2.85,1.47,1.93877551020408,,,24271.002056382098
2001-04-01,CAN,CAD,Canada,3.33,1.56,2.1346153846153797,0.10101214574898623,0.16842105263157894,23822.096210932003
2002-04-01,CAN,CAD,Canada,3.33,1.57,2.12101910828025,-0.006369426751592264,0.0,24256.0192337185
2003-04-01,CAN,CAD,Canada,3.2,1.45,2.20689655172414,0.040488764626698995,-0.039039039039039006,28301.864593742797
2004-05-01,CAN,CAD,Canada,3.19,1.37,2.3284671532846697,0.055086678832114905,-0.003125000000000072,32145.5412620217
2005-06-01,CAN,CAD,Canada,3.28,1.2494,2.6252601248599303,0.1274628122439208,0.028213166144200583,36383.6600068095
2006-05-01,CAN,CAD,Canada,3.52,1.12045,3.1415948949083,0.19667947003001024,0.07317073170731714,40504.0370977806
2007-06-01,CAN,CAD,Canada,3.88,1.05345,3.6831363614789505,0.17237787960769452,0.10227272727272724,44660.083889228095
2008-06-01,CAN,CAD,Canada,4.09,1.00355,4.07553186189029,0.10653841234750647,0.05412371134020618,46710.252686448395
2009-07-01,CAN,CAD,Canada,3.89,1.16085,3.3509928069948702,-0.1777777918191438,-0.04889975550122243,40874.8831932903
2010-07-01,CAN,CAD,Canada,4.17,1.04235,4.000575622391709,0.19384786921681788,0.07197943444730072,47560.666600940596
2011-07-01,CAN,CAD,Canada,4.73,0.94585,5.00079293756938,0.2500183497543035,0.13429256594724231,52223.8588398531
2012-07-01,CAN,CAD,Canada,5.12,1.01945,5.02231595468145,0.004303920874302658,0.08245243128964051,52670.344733541504
2013-07-01,CAN,CAD,Canada,5.53,1.05125,5.260404280618309,0.04740608278834587,0.08007812500000003,52638.1187235237
2014-07-01,CAN,CAD,Canada,5.64,1.07405,5.25115218099716,-0.0017588191187583202,0.01989150090415903,50960.8431174661
2015-07-01,CAN,CAD,Canada,5.85,1.2897,4.53593859036985,-0.13620126897398271,0.03723404255319149,43594.1941045394
2016-07-01,CAN,CAD,Canada,6.0,1.3030000000000002,4.60475825019187,0.015172088080762387,0.025641025641025703,42314.0615817218
2017-07-01,CAN,CAD,Canada,5.97,1.2823,4.655696794821809,0.011062153942135042,-0.005000000000000042,45129.628116623
2018-07-01,CAN,CAD,Canada,6.65,1.31235,5.0672457804701505,0.08839686169126762,0.11390284757118939,46539.1761570405
2019-07-09,CAN,CAD,Canada,6.77,1.31305,5.1559346559537,0.017502382818170768,0.01804511278195477,46352.8693445211
2020-07-01,CAN,CAD,Canada,6.88,1.3552,5.0767414403778,-0.015359623591127719,0.01624815361890699,43537.839298904
2000-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,,,4087.56259349384
2001-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,0.0,0.0,3941.1226662136896
2002-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,0.11504424778760353,0.11504424778761073,4177.104941764989
2003-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,0.0,0.0,4454.52676383656
2004-05-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,0.0,0.0,4924.33811126582
2005-06-01,MYS,MYR,Malaysia,5.25,3.8,1.3815789473684201,0.04166666666666936,0.04166666666666666,5536.83748306949
2006-05-01,MYS,MYR,Malaysia,5.5,3.6295,1.5153602424576398,0.09683217549314953,0.047619047619047616,6137.15053996313
2007-06-01,MYS,MYR,Malaysia,5.5,3.4345,1.6013975833454699,0.05677682340952348,0.0,7144.0002399818295
2008-06-01,MYS,MYR,Malaysia,5.5,3.238,1.6985793699814702,0.06068560840024401,0.0,8343.3033817446
2009-07-01,MYS,MYR,Malaysia,6.77,3.602,1.8795113825652399,0.1065196103174993,0.23090909090909084,7167.877194233729
2010-07-01,MYS,MYR,Malaysia,7.05,3.2135,2.19386961257196,0.16725529460623448,0.04135893648449044,8880.145804541091
2011-07-01,MYS,MYR,Malaysia,7.2,2.9730000000000003,2.4217961654894102,0.10389247912059951,0.021276595744680903,10209.3719445027
2012-07-01,MYS,MYR,Malaysia,7.4,3.1735,2.33181030408067,-0.037156661940025607,0.0277777777777778,10601.5104558966
2013-07-01,MYS,MYR,Malaysia,7.3,3.1805,2.2952365980191805,-0.015684683268396855,-0.013513513513513585,10727.6690215542
2014-07-01,MYS,MYR,Malaysia,7.63,3.1675,2.40883977900553,0.04949519412699781,0.0452054794520548,11045.5801207599
2015-07-01,MYS,MYR,Malaysia,7.65,3.8065,2.00972021542099,-0.16568954359816868,0.002621231979030205,9699.60046342736
2016-07-01,MYS,MYR,Malaysia,8.0,4.027,1.9865905140303002,-0.011508916123354408,0.04575163398692805,9555.66959336559
2017-07-01,MYS,MYR,Malaysia,8.6,4.2935,2.0030278327704703,0.00827413532083309,0.07499999999999996,9979.70447282371
2018-07-01,MYS,MYR,Malaysia,8.45,4.0225,2.10068365444375,0.04875410120397972,-0.01744186046511632,11073.9789704691
